"DownloadSpeed","UploadSpeed","PacketLoss","ISP","ExternalIPSum","UsedServer","Jitter","Latency","Timestamp"
"383.6674","36.5613","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","15","12/30/2020 00:04:35"
"384.0456","36.6306","0","Virgin Media","306","speed.custdc.net","1","16","12/30/2020 00:29:02"
"382.0475","36.6001","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/30/2020 00:36:55"
"384.077","36.5944","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/30/2020 00:50:28"
"384.8363","36.6044","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/30/2020 01:03:52"
"383.8676","36.7283","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/30/2020 01:22:06"
"384.4631","36.5851","0","Virgin Media","306","speed.custdc.net","3","15","12/30/2020 01:39:19"
"383.9313","36.6305","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","16","12/30/2020 01:46:52"
"384.5134","36.6381","0","Virgin Media","306","speed.custdc.net","1","15","12/30/2020 02:13:51"
"383.8743","36.6557","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","14","12/30/2020 02:21:20"
"384.9371","36.6052","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","14","12/30/2020 02:32:57"
"382.6529","36.6106","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","16","12/30/2020 02:51:46"
"383.5104","36.5999","0","Virgin Media","306","speed.custdc.net","1","15","12/30/2020 03:06:20"
"383.0681","36.464","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/30/2020 03:20:45"
"383.7581","36.4964","0","Virgin Media","306","speed.custdc.net","0","16","12/30/2020 03:39:08"
"384.0044","36.531","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","15","12/30/2020 03:56:56"
"383.0551","36.64","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","16","12/30/2020 04:01:36"
"384.1532","36.6189","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","16","12/30/2020 04:21:09"
"384.1385","36.5594","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","15","12/30/2020 04:43:57"
"383.415","36.5333","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","5","15","12/30/2020 04:53:24"
"384.4378","36.6064","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/30/2020 05:01:59"
"385.313","36.5812","0","Virgin Media","306","speed.custdc.net","1","16","12/30/2020 05:19:01"
"383.3004","36.5673","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","16","12/30/2020 05:31:51"
"382.5089","36.5832","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","16","12/30/2020 05:49:21"
"382.8449","36.7274","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/30/2020 06:09:02"
"383.8573","36.59","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/30/2020 06:20:57"
"383.7178","36.5552","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","15","12/30/2020 06:32:23"
"383.7266","36.6136","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/30/2020 06:52:44"
"384.5375","36.5728","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/30/2020 07:04:14"
"382.8726","36.5822","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","16","12/30/2020 07:16:29"
"382.7962","36.6098","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/30/2020 07:42:55"
"384.1423","36.625","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","16","12/30/2020 07:59:07"
"383.4293","36.6258","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","16","12/30/2020 08:05:00"
"379.3725","35.75","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","16","12/30/2020 08:25:31"
"382.783","36.5702","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/30/2020 08:31:09"
"384.0889","36.5749","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","15","12/30/2020 08:46:54"
