"DownloadSpeed","UploadSpeed","PacketLoss","ISP","ExternalIPSum","UsedServer","Jitter","Latency","Timestamp"
"383.608","36.5826","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","5","15","12/14/2020 00:00:25"
"383.9714","36.4394","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","16","12/14/2020 00:22:51"
"379.7395","36.4199","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/14/2020 00:33:21"
"381.4566","36.4434","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","16","12/14/2020 00:52:49"
"380.8892","36.4394","1","Virgin Media","306","speed.custdc.net","0","16","12/14/2020 01:01:42"
"383.5277","36.5973","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","14","12/14/2020 01:25:07"
"382.5578","36.6168","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/14/2020 01:36:40"
"384.9762","36.5925","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/14/2020 01:58:25"
"381.5941","36.4555","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/14/2020 02:10:13"
"383.0766","36.523","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","16","12/14/2020 02:20:36"
"382.2957","36.5513","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","15","12/14/2020 02:30:20"
"382.5714","36.5979","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/14/2020 02:52:04"
"382.2828","36.6357","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","15","12/14/2020 03:14:12"
"383.1564","36.6621","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/14/2020 03:27:31"
